stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
21,0.5,16.5,16.751731500000005,,16.736458400000174,16.751731500000005,17.235423999999966,17.235423999999966,17.251813599999878,17.534655999999814,17.51939080000011,right,16.5,0,0,0.2669154999998682,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
22,0.5,17.0,17.534655999999814,,17.519498199999816,17.534655999999814,18.034501199999795,18.034501199999795,18.034501199999795,18.33469019999984,26.467432200000076,right,17.0,0,0,8.42543119999982,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
23,0.5,17.5,26.48237119999976,,26.467536499999824,26.48237119999976,26.966178000000127,26.966178000000127,26.98271419999992,27.266582499999913,27.966851499999848,right,17.5,0,0,0.9957621999997173,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
24,0.5,18.0,27.982662899999923,,27.96694179999986,27.982662899999923,28.465348599999743,28.465348599999743,28.483345399999962,28.7659306999999,28.783708599999954,right,18.0,0,0,0.30673179999985223,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
25,0.5,18.5,28.799606799999765,,28.783824900000127,28.799606799999765,29.29896460000009,29.29896460000009,29.29896460000009,29.599042199999985,30.133146900000156,right,18.5,1,1,0.8313480000001618,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
26,0.5,18.5,30.148512599999776,,30.13323619999983,30.148512599999776,30.648849899999732,30.648849899999732,30.648849899999732,30.94879149999997,31.01606989999982,left,-18.5,0,0,0.35303709999971034,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
27,0.5,19.0,31.031612499999937,,31.01617840000017,31.031612499999937,31.532736499999828,31.532736499999828,31.532736499999828,,31.648325699999987,left,-19.0,1,1,0.10119970000005196,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
28,0.5,19.0,31.664505899999767,,31.648379400000067,31.664505899999767,32.148275900000044,32.148275900000044,32.16511559999981,,32.38268479999988,left,-19.0,1,1,0.22045140000000174,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
29,0.5,19.0,32.39803759999995,,32.38277759999983,32.39803759999995,32.88131859999976,32.88131859999976,32.898165900000095,,33.11579799999981,left,-19.0,0,0,0.2309807000001456,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
30,0.5,19.5,33.131646400000136,,33.11589980000008,33.131646400000136,33.63144430000011,33.63144430000011,33.63144430000011,,33.71598760000006,left,-19.5,0,0,0.06858509999983653,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
